2013-09-16;2043-09-16;100.000000;4.760000;6;1;2300000;126.4951;1232;130019;H;T00003
2016-11-10;2017-08-10;97.591200;0.000000;0;3;2000000;97.4840;2052;111699770;A;T00005
2013-01-10;2023-01-10;100.000000;4.430000;12;1;2000000;110.2543;2142;130205;H;T00003
2014-05-20;2019-05-20;100.000000;5.800000;12;1;1000000;108.7048;1502;101461014;H;T00003
2011-02-24;2018-02-24;100.000000;2.200000;3;2;200000;99.5940;1342;110210;A;T00005
2016-09-12;2016-12-12;99.507000;0.000000;0;3;200000;99.8695;1232;169941;H;T00003
2015-07-21;2017-02-26;100.000000;3.600000;3;2;146100;14.7111;1222;1589130;A;T00005
2016-09-05;2016-12-05;99.512000;0.000000;0;3;200000;99.9079;1232;169940;H;T00003
2016-09-26;2016-12-26;99.509000;0.000000;0;3;200000;99.7915;1232;169943;H;T00003
2016-10-17;2017-10-17;100.000000;2.220000;0;0;1000000;99.9136;1322;160311;T;T01106
2016-10-17;2017-01-16;99.518000;0.000000;0;3;200000;99.6695;1232;169944;H;T00003
2011-02-17;2021-02-17;100.000000;2.350000;3;2;200000;95.7022;1342;110207;A;T00005
2016-11-02;2023-11-02;100.000000;3.880000;12;1;1000000;99.3086;1482;1624029;A;T00005
2016-10-27;2019-10-27;100.000000;2.290000;12;1;600000;99.7169;1232;160022;H;T00003
2016-11-03;2026-11-03;100.000000;2.700000;6;1;500000;98.4782;1232;160023;H;T00003
2016-11-03;2026-11-03;100.000000;2.700000;6;1;300000;98.4782;1232;160023;A;T00005
2015-04-07;2025-04-07;100.000000;4.290000;12;1;2000000;108.9537;1322;150308;A;T00005
2015-04-13;2020-04-13;100.000000;4.130000;12;1;200000;105.7392;2142;150208;T;T00606
2014-02-20;2021-02-20;100.000000;5.550000;12;1;2000000;113.9047;2352;140409;H;T00003
2014-01-14;2017-01-14;100.163700;5.695700;12;1;300000;105.2760;2142;140201;T;T01106
2016-10-24;2017-04-24;99.014000;0.000000;0;3;200000;99.0851;1232;169946;H;T00003
2016-10-31;2017-01-30;99.501000;0.000000;0;3;200000;99.5862;1232;169947;H;T00003
2016-11-03;2017-11-03;100.000000;2.100000;0;0;400000;99.9664;1232;160024;H;T00003
2016-10-24;2017-01-23;99.512000;0.000000;0;3;200000;99.6279;1232;169945;H;T00003
2012-08-27;2017-08-27;100.000000;3.750000;12;2;1000000;101.4091;1342;120237;A;T00005
2012-09-17;2017-09-17;100.000000;4.074100;12;1;1000000;101.9452;2142;120240;H;T00003
2015-04-03;2018-04-03;100.000000;4.180000;12;1;3000000;104.3801;2142;150207;A;T00005
2015-04-13;2020-04-13;100.000000;4.130000;12;1;2000000;105.7392;2142;150208;A;T00005
2013-05-20;2063-05-20;100.000000;4.240000;6;1;200000;118.9675;1232;130010;H;T00003
2013-05-27;2020-05-27;100.000000;3.970000;12;1;1000000;104.9675;1322;130310;H;T00003
2013-05-24;2018-05-24;100.000000;4.500000;12;1;2800000;104.0689;1882;1382282;A;T00005
2013-06-24;2018-06-24;98.030000;4.000000;12;1;1500000;103.5468;2352;130412;H;T00003
2013-07-23;2018-07-23;100.000000;3.170000;3;2;1000000;100.2794;1382;130234;H;T00003
2012-04-13;2022-04-13;100.000000;8.450000;12;1;400000;95.0924;1872;1280104;A;T00005
2010-05-27;2017-05-27;100.000000;2.830000;12;1;600000;101.6768;1232;100015;H;SX
2010-06-02;2017-06-02;100.000000;3.210000;12;1;200000;101.8482;2142;100215;H;SX
2010-06-21;2040-06-21;100.000000;4.030000;6;1;600000;114.4191;1232;100018;H;SX
2015-04-13;2022-04-13;100.000000;4.250000;12;1;11000000;107.5392;2142;150209;H;T00003
2010-07-21;2017-07-21;100.000000;3.170000;12;1;1000000;101.4746;2142;100217;H;SX
2010-07-22;2017-07-22;100.000000;2.760000;12;1;1000000;101.2441;1232;100022;H;SX
2016-10-17;2017-01-16;99.518000;0.000000;0;3;9000;99.6695;1232;169944;A;T00005
2016-11-07;2017-02-06;99.509000;0.000000;0;3;200000;99.5454;1232;169948;H;T00003
2014-01-17;2019-01-17;100.000000;5.780000;12;1;1000000;110.6422;2352;140402;H;T00003
2015-07-17;2018-07-17;100.000000;2.830000;12;1;1800000;101.5388;2152;1562001;H;T00003
2015-07-17;2020-07-17;100.000000;3.140000;12;1;10100000;102.6232;2152;1562002;H;T00003
2013-04-18;2020-04-18;100.000000;3.290000;12;1;300000;104.5031;1232;130008;A;T00005
2013-09-26;2020-09-26;97.160000;4.860000;12;1;2000000;107.2255;2352;130422;H;T00003
2008-08-21;2018-08-21;100.000000;5.500000;12;1;300000;105.7639;2142;080214;H;T00003
2014-12-05;2017-12-05;99.900000;6.000000;12;1;2000000;106.8447;1072;031491096;A;T00005
2001-10-23;2021-10-23;100.000000;3.850000;6;1;300000;105.7816;1232;010011;H;SX
2008-10-16;2018-10-16;100.000000;3.850000;12;1;1000000;101.5189;1882;088048;A;T00005
2013-01-21;2018-01-21;100.000000;5.400000;12;1;500000;106.8100;1832;1382026;A;T00005
2014-06-24;2017-06-24;100.000000;6.800000;12;1;2000000;104.3354;1832;031490517;A;T00005
2013-09-17;2018-09-17;100.000000;4.820000;12;1;4000000;104.2569;2352;130421;H;T00003
2011-01-14;2018-01-14;100.000000;2.160000;6;2;200000;99.9354;1342;110202;H;T00003
2008-11-27;2023-11-27;100.000000;3.620000;6;1;1500000;106.5390;1232;080023;H;SX
2009-12-17;2016-12-17;100.000000;3.220000;12;1;3900000;103.0572;1232;090032;H;SX
2015-04-22;2018-04-22;100.000000;3.990000;12;1;1400000;104.1427;2352;150409;A;T00005
2015-01-26;2020-01-26;100.000000;3.850000;12;1;4600000;105.6056;1322;150303;A;T00005
2007-05-14;2017-05-14;100.000000;2.170000;12;2;200000;100.9394;1342;070206;H;SX
2013-03-26;2020-03-26;100.000000;4.110000;12;1;2000000;106.1091;2352;130404;H;T00003
2009-06-11;2024-06-11;100.000000;3.690000;6;1;600000;107.1377;1232;090011;H;T00003
2011-04-28;2031-04-28;96.800000;4.150000;6;1;600000;111.2844;1232;110010;H;T00003
2010-10-28;2020-10-28;100.000000;1.930000;6;2;200000;94.7771;1342;100228;H;SX
2015-01-29;2020-01-29;100.000000;4.800000;12;1;10000;108.1750;1502;101575001;A;T00005
2012-06-04;2017-06-04;100.000000;2.710000;12;2;2000000;100.5753;1342;120225;H;T00003
2015-04-23;2020-04-23;100.000000;3.940000;12;1;4000000;104.8840;2352;150410;A;T00005
2008-06-23;2018-06-23;100.000000;4.410000;6;1;500000;105.1323;1232;080010;H;T00003
2012-07-09;2019-07-09;100.368100;3.970200;12;1;1000000;104.0099;2142;120231;H;T00003
2015-06-05;2018-06-05;100.000000;2.910000;12;1;2000000;101.9397;2292;1569001;H;T00003
